id,title,time,source,description
newsbtc:b6f818331094b:0,"MicroStrategy Buys Additional 11,930 BTC, Fibonacci Analysis Hints At $160K Bitcoin Price Peak","Thu, 20 Jun 2024 19:00:58 GMT",NewsBTC,"Bitcoin (BTC), the leading cryptocurrency, has regained momentum, bouncing off a weekly low of $64,000 to find support above $65,000, halting last week’s downtrend. This price recovery may be due to another significant investment round by business intelligence company MicroStrategy, led by Bitcoin bull Michael Saylor.  

 The company announced on Thursday the acquisition of an additional 11,931 BTC valued at approximately $786.0 million, further solidifying its position as a major institutional holder of the digital asset. 

 MicroStrategy’s Bitcoin Holdings Surge To Nearly $15 Billion 

 MicroStrategy’s Chairman and Co-founder, Michael Saylor, revealed the latest acquisition in a social media post. The company purchased 11,931 Bitcoin between April 27 and June 19, utilizing proceeds from convertible notes and excess cash at an average price of $65,883 per Bitcoin.  

 Notably, the recent purchases increased MicroStrategy’s overall Bitcoin holdings to an impressive 226,331 BTC, acquired at a total cost of $8.3 billion, currently valued at approximately $14.9 billion. 

 Saylor’s interest in Bitcoin dates back to 2020, when he began purchasing the cryptocurrency as a hedge against inflation and an alternative to holding cash. Since then, Bitcoin has experienced substantial growth, appreciating around 600% since Saylor’s initial investments.  

 The recent purchase by MicroStrategy comes at a time when market sentiment towards Bitcoin is mixed. Market intelligence platform Santiment reports that the community is “mainly fearful” or disinterested as Bitcoin’s price hovers between $64,000 and $65,000.  

 However, Santiment suggests that BTC trader fatigue, combined with whale accumulation exemplified by MicroStrategy’s latest acquisition, often leads to price bounces “that reward the patient,” as seen in the image above.  

 BTC’s Cycle Top To Reach New Heights 

 Despite the current mixed sentiment in the market, most experts and analysts are forecasting a cycle top for Bitcoin beyond the current all-time highs. Market analyst Crypto Con recently used Fibonacci retracements to forecast conservative and less conservative potential cycle top targets. 

 According to Crypto Con’s analysis, the .618 Fibonacci retracement level has proven reliable for previous Bitcoin cycle tops. Extension levels can be derived by retracing from the cycle bottom to the top of the first move. The cycle tops of 2013 and 2017 were predicted at 4.618, while the 2021 top was forecasted at the 5.618 level.  

 For the current cycle, the conservative target for the cycle top is $106,000, while the less conservative target stands at $161,000, according to Crypto Con. 

 Adding to the positive sentiment, wealth management firm Bernstein has made bold predictions for Bitcoin’s future price trajectory. Despite arguments from bears that the Bitcoin ETF trade is over and early allocations were driven by retail investors, Bernstein holds a different viewpoint.  

 The firm emphasizes that Bitcoin ETFs are on the verge of approvals at major wirehouses and large private bank platforms in this year’s third or fourth quarter. These potential approvals and institutional interest act as a catalyst for adoption. 

 Bernstein expects Bitcoin to reach a cycle high of approximately $200,000 by 2025, $500,000 by 2029, and an impressive $1 million by 2033. The firm asserts that institutional investors are evaluating “net long” positions, indicating a growing interest in the cryptocurrency. 

 At the time of writing, BTC has limited its losses in the 7-day time frame to 3.6%, resulting in a current trading price of $65,170 for the largest cryptocurrency on the market.  

 Featured image from DALL-E, chart from TradingView.com 

 "
cointelegraph:c43b74741094b:0,Italian gov’t to ramp up surveillance of crypto market,"Thu, 20 Jun 2024 18:00:00 GMT",Cointelegraph,"Italy is set to ramp up surveillance of the crypto markets as part of its compliance with the European Union’s Markets in Crypto-Assets (MiCA) regulatory framework. 

 Under the new regulations, Italy will increase oversight over the digital asset markets to curb and punish insider trading and market manipulation schemes. 

 The decree stipulates fines ranging between 5,000 and 5 million euros ($5,400–$5.4 million) depending on the severity and scope of the regulatory violations. 

 The MiCA regulatory framework’s effects 

 First passed in 2022, the European Union’s MiCA regulatory framework is forcing blockchain firms to make some tough calls, while decentralized finance (DeFi) protocols are left with the difficult choice of fully decentralizing their networks or submitting to the framework’s Anti-Money Laundering and Know Your Customer regulations.Cointelegraph 

 Fully decentralized networks are exempt from MiCA’s reporting requirements. However, due to the use of foundations and other intermediaries that help moderate decentralized communities, these protocols risk breaching MiCA’s definition of a sufficiently decentralized network. 

 This means these DeFi protocols must either fully decentralize or accept a situation where users must submit verification data — a tough sell for many network participants. 

 "
coindesk:0f5d8fde8094b:0,"Protocol Village: Farworld, Building Gaming on Farcaster, Raises $1.75M ","Thu, 20 Jun 2024 17:56:28 GMT",CoinDesk,"June 20: Farworld Labs, the Farcaster-native gaming company, has closed its $1.75 million pre-seed funding round, co-led by Lemniscap and Variant. According to the team: ""The funding will enable Farworld Labs to expedite the rollout of upcoming Q3 releases, including the highly anticipated launch of the Farcade platform in conjunction with top-tier studios and developers. Built on decentralized social media protocols, the Farcade is a platform and suite of tools for developers to build crypto-native games that integrate with onchain social, making games instantly playable within social media feeds with just a single click."" 

 Celo Foundation Appoints Nakagawa as Executive Director; Varshney Transitions to Head of Ecosystem 

 June 20: The Celo Foundation is elevating homegrown and Web3 native talent into key senior leadership positions. According to the team: ""Eric Nakagawa has been appointed to the new role of Executive Director of the Celo Foundation. He will work closely with Rene Reinsberg to oversee the Foundation’s daily operations. Isha Varshney has transitioned from head of DeFi to head of Ecosystem. She will oversee projects building on Celo, and lead business development efforts with both Web2 and Web3 firms. Sophia Dew joins the Celo Foundation as developer relations lead to support builders developing on the emerging Ethereum L2."" 

 Botanix Labs Hires Stoner as Head of Security  

 June 20: Botanix Labs, building an EVM-equivalent layer-2 network atop Bitcoin, announced the appointment of security expert and industry veteran Ron Stoner as its new Head of Security, according to the team: ""With this addition, the Botanix Labs team is uniquely positioned to develop industry-leading infrastructure that securely scales Bitcoin-native financial tools. Ron Stoner brings a wealth of experience in designing and testing blockchain-based networks as one of the most respected hackers, educators, and security professionals in the cryptocurrency industry."" 

 POKT, Decentralized RPC Project, Expands Into AI Inference 

 June 20: POKT Network, a project for decentralized RPC infrastructure processing, is expanding into AI inference services, according to the team: ""The network’s open-source, permissionless design aligns incentives among model researchers, hardware operators, API providers and users. Utilizing its Relay Mining algorithm, POKT creates a transparent marketplace for cryptographically verified usage, enabling AI researchers to disseminate work and generate revenue without maintaining infrastructure. This aims to decentralize AI, competing with centralized entities and supporting broad participation."" 

 ZKX, a 'Social Perp Trading DEX on Starknet and Ethereum,' Raises $7.6M 

 June 20: ZKX, describing itself as ""the first social perp trading DEX on Starknet and Ethereum,"" has raised $6.3 million in a seed round featuring key investors, such as Flowdesk, GCR and DeWhales, according to the team: ""This brings the protocol's total funding to $7.6 million over the past two years. These funds are earmarked to enhance ZKX's growth and development. One of their main goals is to enable the development of new products such as its native token, $ZKX, which launched on KuCoin, Gate.io and Bitget this week. The token will empower users in governance and staking, with features like social copy trade pools and cross-chain interoperability planned."" 

 BNB Chain Upgrade Introduces Blob-Carrying Transactions to Optimize Data Storage 

 June 20: BNB Chain has successfully activated the BEP 336 Haber Hardfork, according to the team: ""This upgrade introduces blob-carrying transactions, drastically reducing gas fees by up to 90%, and marks a significant step in optimizing BNB Chain’s data storage and processing capabilities. This cost reduction enhances the overall efficiency of the ecosystem, positioning BNB Chain as one of the most economical platforms for developers and users. The opBNB scaling solution, which already boasts some of the lowest transaction costs in the industry, will see further reductions to approximately $0.0001, and benefiting the L2s operating on BSC."" 

 Protocol Village is a regular feature of The Protocol, our weekly newsletter exploring the tech behind crypto, one block at a time. Sign up here to get it in your inbox every Wednesday. Project teams can submit updates here. For previous versions of Protocol Village, please go here. Also please check out our weekly The Protocol podcast. 

 "
cointelegraph:7607938ac094b:0, Bitcoin’s days below $70K are numbered as traders cite BTC’s swing low as the bottom ,"Thu, 20 Jun 2024 17:52:52 GMT",Cointelegraph,"Bitcoin’s BTCUSD price has been trending lower over the last two weeks, and analysts believe that the pioneer cryptocurrency appears to have “bottomed” in the area between $63,000 and $65,000.  

 “Bitcoin has likely bottomed in this area between $63-65K,” MN Capital founder Michaël van de Poppe wrote in a June 20 post on the X social media network.  

 Van de Poppe’s analysis appears to have been informed by Bitcoin’s modest bounce from $64,950 to a high of $66,455 during the European trading session on June 20.  

 The analyst shared the following chart with his X followers. It shows BTC bouncing off a key demand level, indicated by the green band, stretching from $63,000 to $65,000. 

 Van de Poppe explained that if the price holds above this level, it will find “itself in upward momentum.” 

 Cointelegraph 

 Fellow analyst Jelle shared a similar sentiment, declaring that BTC continued the fight for range lows around the key $65,000 support level and that bulls were working on turning the market structure around to lock in “a local higher low and higher high.” 

 “Bitcoin’s local market structure is slowly shifting back to bullish. Eyes on a reclaim of $66,000 - for confirmation of strength,” Jelle explained. 

 The 200-day EMA provides the last line of defense for Bitcoin’s price 

 Data from Cointelegraph Markets Pro and TradingView shows Bitcoin’s price action has formed a series of higher lows on the daily chart to stay above the ascending trendline. Bitcoin bulls are required to hold the price above this level to secure the recovery.  

 The appearance of a doji candlestick on the daily chart implied the importance of the $65,000 level for both buyers and sellers.Cointelegraph 

 However, if bulls lose the ongoing battle, they may retreat toward the 200-day exponential moving average (EMA), which appears to be the last line of defense for BTC at $64,300.  

 Data from IntoTheBlock, whose In/Out of the Money Around Price (IOMAP) model reveals that Bitcoin’s price sits on relatively strong support downward, also reinforces this level’s importance.  

 The 200-day EMA and the $65,000 psychological level are found within the $64,018–$65,975 price range, where approximately 1.07 million BTC was previously bought by about 1.75 million addresses. Cointelegraph 

 This suggests that high demand-side liquidity from this cohort of investors could push BTC’s price past the resistance provided by the 100- and 50-day EMAs at $66,699 and $67,000, respectively, breaking it out of consolidation and into price discovery. 

 If this happens, according to popular analyst Moustache, BTC’s price below $70,000 could be the last time we see it.  

 Moustache explained that the BTC price was nurturing an inverse head-and-shoulders pattern on the daily timeframe, which is becoming “more and more of a reality” for Bitcoin.Cointelegraph 

 The inverse head-and-shoulders pattern forms a reversal setup and includes an “inverted” head and shoulders, with the left and right shoulders upside down below the neckline.  

 If the pattern continues, Bitcoin’s price could embark on a massive upward breakout toward its next key price level of $72,000 before potentially breaking its current all-time high price of $73,835, eventually making a run for $100,000, according to Jelle. 

 This would be an almost 55% jump from the current price, according to CoinMarketCap data. 

 This article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.  

 "
u_today:8d90e7ce0094b:0,Key Reason Why Bitcoin (BTC) Is Crashing Despite Surging Stocks,"Thu, 20 Jun 2024 17:40:34 GMT",U.Today,"The price of Bitcoin, the largest cryptocurrency by market cap, is losing ground despite the strength of the US stock market.  

 The flagship cryptocurrency slipped to an intraday low of $64,544 after reaching a peak of $66,436, according to CoinGecko data.  

 The recent bearishness could be related to the Bitcoin selling spree initiated by the German government. According to data provided by analytics platform Arkham Intelligence, the German government sent $65 million to two likely exchange deposits including Coinbase. Notably, Ki Young Ju, founder and CEO of on-chain analytics platform CryptoQuant, has noticed that selling pressure is primary origination from the Coinbase exchange.  

 This comes after the German government sent $130 million worth of Bitcoin to various exchanges that included Kraken and Bitstamp. It continues to hold a whopping $3.05 billion worth of Bitcoin.  

 German authorities famously seized a whopping 50,000 Bitcoins from Movie2k.to, the now-defunct piracy website, back in 2013.  

 Nvidia keeps surging  

 In the meantime, the benchmark S&P 500 index briefly surpassed 5,500 for the first time ever earlier today before paring some gains.  

 The US stock market is being propped up by the remarkable surge of tech giant Nvidia. After becoming the most valuable public company in the world, Nvidia's market capitalization now stands at a staggering $3.4 trillion. This makes it bigger than France's GDP and the entire crypto industry.  

 The majority of traders believe that the U.S. Federal Reserve is going to cut rates before November. This could give the battered cryptocurrency market some hope since a looser monetary policy would benefit crypto.  

 "
coindar:a64ef9b32094b:0,Travala.com to Release NFT on June 21st,"Thu, 20 Jun 2024 17:37:22 GMT",Coindar,"Coindar 

 Travala.com is set to open the minting process for the Travel Tiger NFTs in the next 24 hours. This opportunity is exclusively available to whitelisted Platinum members. The minting period is scheduled to run from 21st to 28th June. 

  Refer to the official tweet by AVA:  

 24 HOURS Until Mint Opens 

 Just 24 hours until Travel Tiger #NFT minting opens for whitelisted Platinum members! 

 📅 NFT minting period: 21â€“ 28 June 

 🐯 Price per NFT: US$4,900 

 Don't miss your chance to join the @AVAFoundation Smart Diamond membership for premium travel benefits! pic.twitter.com/bRqA1cXdkl 

 AVA Info 

 Travala is a platform for booking hotels and travel services that accepts cryptocurrency as payment. Users can pay for their bookings using a wide range of cryptocurrencies, including Bitcoin, Ethereum, and many others. The Travala project was created in 2017 with the aim of providing a simple and convenient booking process that is fully integrated with modern blockchain technologies. 

 Travala operates based on its own token, AVA, which users can use to pay for services on the platform. Additionally, it offers its own loyalty program that allows users to earn rewards for each booking, which can then be exchanged for additional services or discounts. 

 The goal of this project is to simplify the booking process for all users and provide them with the ability to use cryptocurrencies in their everyday lives, making it unique in the travel services market. 

 "
beincrypto:163cf4476094b:0,Trading Firm Jump Crypto Under Investigation by the CFTC,"Thu, 20 Jun 2024 17:37:20 GMT",Beincrypto,"The Commodity Futures Trading Commission (CFTC) has initiated an investigation into Jump Crypto. 

 This probe examines the firm’s trading and investment activities in the cryptocurrency market. It is important to note that this investigation does not imply any wrongdoing by Jump. 

 Jump Crypto Under Investigation 

 Jump has faced significant challenges over the past three years. Known for its algorithmic trading, the firm emerged as a key player in the crypto market, providing market-making services and investing in various crypto projects. However, a series of high-profile incidents have marred its reputation. 

 In September 2021, Jump officially launched Jump Crypto, appointing Kanav Kariya, a former intern, as president. It quickly became one of the top market makers, offering liquidity for new tokens and investing heavily in the sector. The firm also developed notable projects like Wormhole, Pyth, and Firedancer through its incubation and engineering arm. 

 However, Jump’s operations soon encountered significant issues. In 2022, the Wormhole platform suffered a $325 million hack. Jump stepped in to cover the loss, showcasing its substantial financial resources. Later that year, Jump was affected by the collapse of the FTX exchange, where it had served as a major market maker, resulting in nearly $300 million in losses. 

 Further controversy arose in February 2023 when the SEC filed a lawsuit against Terraform Labs and its founder, Do Kwon, alleging fraud related to the TerraUSD stablecoin. Jump was identified as the firm that secretly helped maintain TerraUSD’s peg during a 2021 crisis, although it faced no charges. 

 In March 2023, the Justice Department filed criminal charges against Kwon, again mentioning Jump’s role in maintaining TerraUSD’s peg. Despite these mentions, no allegations of wrongdoing were made against Jump. 

 The CFTC’s current investigation into Jump’s crypto activities represents the latest regulatory scrutiny the firm faces. While it remains uncertain if any charges will be brought, this probe highlights the growing regulatory focus on the cryptocurrency market. 

 "
coindar:28c158e35094b:0,Ontology to Host Community Call on June 21st,"Thu, 20 Jun 2024 17:36:34 GMT",Coindar,"Coindar 

 Ontology is set to hold a community call on X on June 21st at 7 AM UTC.  

  Refer to the official tweet by ONT:  

 🌟 Mark Your Calendars! #Ontology's Weekly Community Catch-Up with Clare is This Friday! 📅 

 🕖 When: Friday, 7 AM UTC 

 📍 Where: X Spaces 

 🔗 Join here to be part of the conversation: https://t.co/4G3XJqL3qb  

 🤗 Get ready for an insightful session! pic.twitter.com/0w0XLCs9dj 

 ONT Info 

 Ontology is an open-source blockchain that provides Web3 trust, privacy and security to enterprises and individual users.  

 Ontology functions as a blockchain framework that supports public blockchain systems and offers customization capabilities for specific applications. It facilitates interaction between blockchains with different protocol groups, contributing to the development of shared modules of underlying infrastructure for various distributed scenarios, including digital identification and distributed data exchange. 

 The ONT token was created as part of Ontology's two-tier token system. ONT serves as a governance token used for voting on network decisions, while ONG (Ontology Gas) is a utility token used for transaction fees and executing smart contracts on the network. 

 "
the_block:7497d8d0f094b:0,Anime-themed Azuki eyes ‘post-NFT world’ with hire of former Hollywood exec,"Thu, 20 Jun 2024 17:36:25 GMT",The Block,"Top-tier NFT brand Azuki announced on Thursday that it has hired veteran entertainment executive Steve Chung as Chief Operating Officer as the company seeks to expand beyond digital collectibles. 

 Chung, whose experience includes working in Hollywood and Silicon Valley, will be tasked with helping Azuki grow its fanbase and revenue opportunities.  

 ""In some ways, we're in a post-NFT world,"" Chung told The Block. ""[But] we have 50,000 amazing characters that are owned by individuals who are super passionate about that community … and there is a very clear path toward using that as the next leverage, telling the story."" 

 In a bid to build upon the popularity created largely during the bull run of 2021, popular NFT brands like Bored Apes, Pudgy Penguins, Azuki, and others are increasingly pivoting towards traditional business strategies such as content creation, gaming and merchandising. The need to transform and transition comes as royalties for NFT creators have withered dramatically.  

 Chung pointed to Azuki releasing an animated series based on the collection’s IP and how that could help the brand tap into the larger, wildly-popular world of anime. The first episode, produced with the help of traditional Japanese anime creators, according to Chung, is already out. The YouTube clip of the first episode has more than 1 million after about a month. 

 The one time Fox executive said Azuki’s anime theme is what sets it apart from rival NFT brands. ""Where we can differentiate with Azuki is we're not a generic object or animal. Not to disparage anybody, but we have a theme. It's the anime culture that's our differentiation,"" he said. 

 Steve Chung. Image: Chiru Labs. 

 In March, Azuki also announced it had teamed up with Arbitrum Foundation in another initiative geared towards creating a web3 network which targets anime fans. Azuki is created by Los Angeles-based Chiru Labs. 

 Previous to joining Azuki, Chung served as Chief Global Officer for Korean entertainment juggernaut CJ ENM Entertainment after working for Fox Corporation. The Stanford and Harvard grad started his career at Goldman Sachs, according to his LinkedIn profile. 

 Disclaimer: The Block is an independent media outlet that delivers news, research, and data. As of November 2023, Foresight Ventures is a majority investor of The Block. Foresight Ventures invests in other companies in the crypto space. Crypto exchange Bitget is an anchor LP for Foresight Ventures. The Block continues to operate independently to deliver objective, impactful, and timely information about the crypto industry. Here are our current financial disclosures. 

 © 2023 The Block. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice. 

 "
newsbtc:06f95f252094b:0,Cardano And XRP Shorting Activity Could Act As ‘Rocket Fuel’ For A Rally; Santiment,"Thu, 20 Jun 2024 17:30:50 GMT",NewsBTC,"On-chain analytics platform Santiment has outlined a factor that could contribute to Cardano (ADA) and XRP enjoying further moves to the upside. Both tokens recorded relief pumps following the recent decline in the crypto market, but market traders believe this development is far from a bullish reversal.  

 Heavy Trader Shorting Could Lead To Price Rises For Cardano And XRP 

 Santiment claimed in an X (formerly Twitter) post that the heavy trader shorting which Cardano and XRP are currently seeing could be the “rocket fuel” for continued price rises for these crypto tokens. Santiment had also revealed that Cardano and XRP were among the most notable altcoins that are heavily shorted following their relief bounces.  

 Interestingly, they called this a “good sign” for the patient bulls, as they believe that liquidation of these short positions could effectively be the momentum that these crypto tokens need to rise higher. Cardano and XRP being named among the most shorted altcoins isn’t surprising, considering that they are the most underperforming coins this year among the top 50 crypto tokens by market cap.  

 Cardano and XRP have also usually failed to enjoy significant relief pumps even when Bitcoin (BTC) and the broader crypto market enjoy a massive rebound. However, this time could be different, as Cardano and XRP have enjoyed a modest price recovery while some other altcoins lag.  

 Data from Coinglass shows that Santiment’s theory could already be in play, seeing how the Cardano and XRP bears have suffered significant losses in the last 24 hours. Over $50,000 in Cardano short positions have been liquidated during this period, while not a single cent in Cardano long positions have been liquidated. Similarly, over $30,000 in XRP short positions have been liquidated while XRP longs were unaffected.  

 A Major Move Might Be On The Horizon For XRP 

 Crypto analyst Egrag Crypto recently predicted that XRP could enjoy a price pump of around 1,700% starting in July. He alluded to XRP’s quarterly hammer formation between April and June 2016 and July and September 2017 before the crypto token enjoyed a major pump. The crypto analyst stated that XRP could form this bullish pattern again but needed to close the 3-month candle above the range between $0.55 and $0.58 in 10 days.  

 Egrag further claimed that if the hammer formation is similar to the one in 2016, the XRP could begin the projected 1,700% price rally in July, eventually sending the crypto token to $8. However, if the hammer formation is similar to the one in 2017, Egrag mentioned that XRP holders might have to wait another six months before the “epic” pump of around 5,500%, sending XRP’s price to $27. 

 "
